run,order,w,rep,success,tok_s,fault_rate,pss_mb,ttft_ms,tok_avg_ms,tok_p90_ms,thrash
A,2>4>8>12>16>24>32,2,1,FAIL/OOM,-,-,-,18756,-,-,-
A,2>4>8>12>16>24>32,2,2,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,4,1,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,4,2,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,8,1,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,8,2,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,12,1,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,12,2,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,16,1,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,16,2,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,24,1,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,24,2,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,32,1,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,32,2,FAIL/OOM,-,-,-,-,-,-,-
B,16>4>24>2>32>8>12,16,1,FAIL/OOM,-,-,-,-,-,-,-
B,16>4>24>2>32>8>12,16,2,FAIL/OOM,-,-,-,-,-,-,-
B,16>4>24>2>32>8>12,4,1,FAIL/OOM,-,-,-,-,-,-,-
B,16>4>24>2>32>8>12,4,2,FAIL/OOM,-,-,-,-,-,-,-
B,16>4>24>2>32>8>12,24,1,OK,0.06,48.34,4615.5,31135,15686.6,31135.0,true
A,2>4>8>12>16>24>32,2,2,OK,0.27,51.66,4416.7,26089,3703.0,3229.0,true
A,2>4>8>12>16>24>32,4,1,FAIL/OOM,-,-,-,34740,-,-,-
A,2>4>8>12>16>24>32,4,2,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,8,1,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,8,2,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,12,1,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,12,2,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,16,1,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,16,2,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,24,1,FAIL/OOM,-,-,-,-,-,-,-
A,2>4>8>12>16>24>32,24,2,FAIL/OOM,-,-,-,-,-,-,-
