run,order,w,rep,success,tok_s,fault_rate,pss_mb,ttft_ms,tok_avg_ms,tok_p90_ms,thrash
A,2>4>8>12>16>24>32,2,1,OK,0.30,70.80,4749.0,25272,3248.4,3113.0,true
A,2>4>8>12>16>24>32,2,2,OK,0.29,45.10,4538.1,23754,3390.4,3216.0,true
A,2>4>8>12>16>24>32,4,1,OK,0.28,38.70,4605.3,26706,3498.3,3098.0,true
A,2>4>8>12>16>24>32,4,2,OK,0.23,75.14,4543.5,29891,4263.6,7612.0,true
A,2>4>8>12>16>24>32,8,1,OK,0.25,51.10,4605.4,25308,3919.0,2993.0,true
A,2>4>8>12>16>24>32,8,2,OK,0.20,13.03,4602.9,24536,4808.2,8670.0,false
A,2>4>8>12>16>24>32,12,1,OK,0.09,62.16,4231.1,42103,10502.6,9748.0,true
A,2>4>8>12>16>24>32,12,2,OK,0.23,70.42,4344.7,25817,4319.6,3705.0,true
A,2>4>8>12>16>24>32,16,1,OK,0.18,69.52,4034.7,29377,5621.6,4340.0,true
A,2>4>8>12>16>24>32,16,2,OK,0.19,80.90,3827.1,29046,5173.7,4170.0,true
A,2>4>8>12>16>24>32,24,1,OK,0.19,108.46,4204.0,23857,5193.6,4129.0,true
A,2>4>8>12>16>24>32,24,2,OK,0.19,97.35,4261.6,26719,5295.1,4702.0,true
A,2>4>8>12>16>24>32,32,1,OK,0.16,101.01,4437.6,25337,6102.1,6548.0,true
A,2>4>8>12>16>24>32,32,2,OK,0.19,115.91,4434.3,25082,5265.6,4222.0,true
B,16>4>24>2>32>8>12,16,1,OK,0.22,86.35,4416.4,26722,4539.4,3547.0,true
B,16>4>24>2>32>8>12,16,2,OK,0.18,87.37,4528.7,25747,5516.0,4595.0,true
B,16>4>24>2>32>8>12,4,1,OK,0.26,89.57,4610.0,23104,3715.6,3521.0,true
B,16>4>24>2>32>8>12,4,2,OK,0.27,102.12,4754.0,24705,3582.5,3160.0,true
B,16>4>24>2>32>8>12,24,1,OK,0.17,92.44,4306.6,25246,5637.0,4825.0,true
B,16>4>24>2>32>8>12,24,2,OK,0.19,66.95,3799.8,26973,5289.5,4783.0,true
B,16>4>24>2>32>8>12,2,1,OK,0.28,35.88,4592.9,26270,3530.8,3331.0,true
B,16>4>24>2>32>8>12,2,2,OK,0.30,70.70,4704.6,25041,3229.8,2927.0,true
B,16>4>24>2>32>8>12,32,1,OK,0.19,106.47,4425.3,25990,5282.2,4504.0,true
B,16>4>24>2>32>8>12,32,2,OK,0.13,0.00,4408.4,26812,7643.2,7146.0,false
B,16>4>24>2>32>8>12,8,1,OK,0.19,69.50,4468.5,25409,5109.8,4083.0,true
B,16>4>24>2>32>8>12,8,2,OK,0.24,77.07,4593.6,25019,4120.0,3135.0,true
B,16>4>24>2>32>8>12,12,1,OK,0.20,75.56,4343.7,24322,4980.1,4249.0,true
B,16>4>24>2>32>8>12,12,2,OK,0.21,79.97,4476.0,24517,4748.5,4413.0,true
C,8>32>4>16>2>24>12,8,1,OK,0.24,33.02,4559.9,24740,4059.1,3523.0,true
C,8>32>4>16>2>24>12,8,2,OK,0.24,65.93,4403.2,24410,4148.6,3598.0,true
C,8>32>4>16>2>24>12,32,1,OK,0.14,0.00,3855.2,25513,6979.3,6545.0,false
C,8>32>4>16>2>24>12,32,2,OK,0.14,0.00,3910.8,34625,7159.8,5581.0,false
C,8>32>4>16>2>24>12,4,1,OK,0.31,60.68,4726.0,24535,3149.4,2190.0,true
C,8>32>4>16>2>24>12,4,2,OK,0.25,57.03,4703.3,26054,4003.5,6456.0,true
C,8>32>4>16>2>24>12,16,1,OK,0.18,85.20,4225.0,25171,5579.8,4996.0,true
C,8>32>4>16>2>24>12,16,2,OK,0.16,49.33,3406.2,31917,6058.8,6893.0,true
C,8>32>4>16>2>24>12,2,1,OK,0.22,75.95,4614.8,30280,4455.0,5779.0,true
